V11, V05, V04, V07, V06, V01, V00, V03, V24, V28, V09, V08, V23, V22, V21, V20, V27, V26, V18, V19, V25, V12, V13, V10, V02, V16, V17, V14, V15
152.840413316, 136.955825596, 120.391168258, 84.6968867675, 146.981378344, 106.977165354, 85.3568758801, 112.343702791, 381.090315258, 176.77710752, 39.5760902751, 267.314569748, 160.745375354, 157.165754703, 138.262156134, 158.884541638, 171.718709764, 985.337383914, 251.551691274, 159.551615486, 148.530000932, 145.130884332, 125.393279427, 112.033114551, 106.782497734, 136.012222656, 104.870888692, 169.452200743, 129.672956242
168.695332525, 145.514123729, 134.201648997, 89.5165112398, 167.547466806, 158.586674672, 58.6967555645, 120.140001645, 857.240372128, 177.990066701, 82.9839959208, 259.509677187, 164.230632662, 177.447838355, 161.935331399, 162.446556897, 167.228141414, 753.926309435, 195.094431419, 163.78279361, 164.959150716, 155.58530824, 155.130272146, 113.694480677, 112.88349214, 161.283528672, 146.246095143, 160.313864473, 158.907470684
192.273389684, 145.226006244, 143.885125111, 101.890391774, 155.154892761, 128.952170289, 100.60085125, 143.391003339, 371.978558124, 162.620392803, 36.0441678206, 995.243284847, 161.470238645, 159.089438128, 158.124523293, 159.605344608, 169.536163059, 236.082836283, 206.722400959, 160.284349438, 158.355613153, 165.555999288, 157.431476828, 109.758396033, 126.252317228, 157.764839941, 141.951857957, 173.855909914, 157.47137563
174.817739275, 168.579029246, 145.526297575, 84.7027958309, 171.766989857, 108.719072417, 100.236832428, 112.767921847, 963.56614053, 160.760661882, 84.5485224272, 377.395903498, 137.501518842, 140.705458947, 130.776000641, 136.980445799, 137.683345751, 846.280556601, 212.926763261, 137.330238901, 134.66483159, 154.259734481, 125.562736332, 99.2951717209, 106.574128283, 130.691557168, 108.349765383, 174.877562479, 130.560093646
190.042544555, 148.039886108, 143.644217588, 94.506033027, 157.443734369, 145.493190912, 109.503999317, 141.336115827, 774.560616562, 161.958390941, 79.1585461436, 959.842055787, 164.944467296, 171.588974015, 151.102553386, 152.187927878, 177.191755092, 350.838951312, 206.124654187, 156.575975867, 153.834847217, 157.771352767, 150.20423045, 95.2160908014, 140.518447795, 151.076581888, 144.439427455, 164.001914316, 150.671743386
155.567514178, 126.737397818, 124.086469747, 85.5989481181, 145.922332524, 226.897202031, 107.940400739, 112.565096228, 568.558682049, 177.660788985, 76.6211016539, 596.419467728, 158.715812278, 159.852822463, 143.237416352, 156.888741739, 171.310168758, 773.486499124, 225.726111946, 157.914759792, 148.60116993, 137.163970394, 135.21050286, 84.8902456867, 111.838973978, 142.167915008, 119.429288119, 161.598885462, 141.902590004
160.290403004, 143.973435951, 132.133184212, 95.6458169941, 148.168740411, 176.578292971, 90.0260918622, 124.436519309, 507.731196684, 185.520492122, 84.3899598471, 880.851094327, 164.213884769, 164.934145612, 145.762258532, 162.967154013, 195.042135597, 818.941904742, 195.822025155, 163.931579397, 150.196480459, 147.469213987, 144.045116013, 108.363314313, 121.675953304, 145.42524213, 104.244345579, 154.086079304, 144.799506288
183.428490557, 153.039137053, 134.118543844, 106.765605388, 180.092623174, 161.914602816, 116.420458781, 130.487941398, 700.702871761, 168.918269648, 31.7202041496, 200.132044097, 179.745581506, 179.726319211, 167.381554168, 168.094443931, 180.019799578, 669.83663466, 215.40258109, 179.641301788, 168.372577568, 171.792377349, 166.68644903, 105.66561714, 128.795549037, 166.845110164, 126.663892813, 175.531833274, 166.738047048
163.721299869, 134.107042166, 125.572126774, 112.475174372, 134.766031278, 112.568259608, 107.880201862, 115.271582278, 805.471439297, 181.877214366, 89.6111703137, 764.782081861, 170.945435138, 169.028493259, 157.833248664, 167.342671364, 180.255615808, 569.259190469, 213.17943891, 168.452217736, 158.135466032, 163.685771393, 152.813454982, 99.6947668268, 112.438852515, 157.589816149, 146.129999533, 183.07857155, 156.102200334
174.666929404, 140.327437945, 121.999127994, 91.0044434087, 147.316291289, 131.329032181, 90.1002130732, 114.61004659, 604.788517303, 169.449746931, 82.3530711165, 253.674390401, 157.178146249, 151.648282979, 142.964437591, 153.897180976, 160.678230251, 504.180994764, 167.786827459, 155.093962318, 142.972969734, 154.104125649, 142.926106992, 99.989155799, 100.751800006, 142.939584409, 127.747200136, 177.991584181, 142.928153139
201.003947764, 156.228248384, 133.783434647, 101.296254849, 161.441316428, 165.002932245, 92.3685169506, 133.492924422, 399.331204693, 167.844717893, 20.4345098064, 579.754256533, 167.055052584, 178.474391605, 155.580859754, 162.721836219, 170.402211671, 867.854024402, 193.37178546, 164.15886038, 159.827000943, 158.042330351, 150.299171424, 111.143105638, 123.89188638, 155.515475138, 140.165103038, 172.21648994, 155.506131492
153.058476917, 145.424441487, 138.75289935, 85.6167044524, 148.564839371, 147.552751043, 90.1821101526, 136.75905263, 603.960899513, 185.655389089, 25.6821529726, 962.414525944, 163.390919819, 167.865503773, 151.220661112, 162.923545353, 175.698216189, 671.401027152, 225.894107654, 163.002550127, 151.289515996, 165.411709003, 150.938020089, 89.2553065016, 134.300711323, 151.199096247, 142.807607732, 186.450906845, 151.06946964
170.858743213, 143.460441636, 135.351136388, 102.117684159, 147.38626867, 167.083555623, 105.530527955, 121.609993105, 881.083033567, 186.161854901, 89.3875378132, 960.515340832, 164.528447346, 172.648850203, 159.461286985, 160.653256024, 167.080666063, 690.059971435, 176.027480772, 163.995712117, 165.382006774, 151.396970042, 148.575848552, 105.194251742, 119.358761122, 150.181426216, 129.64481781, 176.215518741, 149.96350394
169.866134397, 142.75257369, 139.414615372, 127.242610826, 164.789267876, 156.082921072, 88.3634422525, 131.570947498, 705.286278765, 155.255200182, 88.9394959471, 615.085702561, 191.144622508, 161.616095307, 148.607403281, 172.790187024, 191.383567404, 928.770211931, 197.441987968, 189.150123676, 148.968482932, 144.046373775, 141.480038245, 106.488858061, 119.21809538, 146.551798637, 116.32213377, 188.746289392, 144.522226029
137.891234056, 136.896664462, 136.773477399, 120.161925495, 137.551084915, 164.783360374, 101.222101709, 136.665564034, 212.985018606, 157.777101433, 104.491761051, 671.960815202, 136.706154391, 136.804475122, 136.096284706, 136.355687269, 145.27815274, 785.649702164, 251.986634056, 136.691948956, 136.617131983, 150.173474276, 134.894616848, 98.6584271814, 123.407913222, 135.801774764, 133.581518307, 195.624964923, 135.398604058
171.811542183, 136.265787471, 125.227126552, 85.4386522446, 143.606449792, 152.425040173, 94.6677810897, 122.163737639, 655.051464532, 166.365438595, 67.5572048286, 278.953490502, 144.466238395, 168.813623934, 143.567090124, 144.167421676, 152.55178711, 196.014916711, 228.406774416, 144.250636328, 143.619552301, 161.055657415, 143.447666389, 102.210743086, 109.781415614, 143.518824005, 139.776059227, 165.308210444, 143.507885617
167.699943172, 138.403688182, 128.601518902, 95.5612922849, 150.016269618, 126.051824814, 66.3533471819, 123.69826638, 766.807720372, 191.648537664, 60.7583766061, 397.641352313, 167.453772644, 169.311206522, 166.215124125, 166.690675231, 174.622592804, 865.235913758, 238.253822044, 166.987799093, 166.363042178, 166.581630438, 165.958897943, 116.726249124, 118.652479159, 166.163782178, 148.20615682, 169.064306768, 166.119250988
170.128210909, 150.78861753, 134.35421827, 97.223793054, 151.588806294, 121.069816212, 99.5243718784, 122.461168586, 465.05901556, 170.266038904, 87.6672232598, 730.572744757, 163.042013353, 165.607358627, 153.172166218, 153.215660014, 193.430154116, 609.17151487, 171.675720695, 159.657912008, 154.800093747, 145.902287759, 142.541510395, 93.7911703779, 114.551896781, 145.981983115, 111.799240186, 154.297213858, 144.024209069
148.798632726, 113.816886509, 113.776776911, 82.086147046, 130.175474065, 128.02515629, 65.5704258992, 113.760608723, 988.53969243, 182.014068953, 12.6775662962, 773.880472455, 147.929315136, 152.668521675, 143.914032798, 147.274884311, 147.9556541, 646.860235678, 240.658724403, 147.6247243, 144.172561001, 159.289765502, 141.022995281, 104.215570227, 109.394998821, 143.470465982, 132.953267459, 186.827886874, 143.064489535
179.63176171, 152.308347578, 119.927263781, 95.3879759812, 164.804643809, 133.036111745, 67.6996753753, 118.696861041, 965.919067668, 179.315449599, 48.7383361148, 953.936373429, 178.125325936, 178.757881648, 169.357470481, 176.257817057, 178.729081888, 414.703066089, 221.549113514, 177.87843031, 169.368250338, 171.087946129, 168.421185941, 111.700053598, 115.428440301, 169.308727551, 152.975641094, 179.391055185, 169.143196758
169.804027907, 156.222254794, 144.101922867, 100.036907705, 162.779705834, 153.651116474, 114.344399234, 137.766578226, 716.236711895, 152.152184862, 89.3474174109, 823.340658286, 157.421616409, 152.005839928, 144.509915517, 151.868889451, 160.058560848, 234.613539547, 161.277858785, 157.288344935, 145.412964203, 145.30616327, 139.785705667, 121.034665969, 137.040563637, 142.628768632, 124.601307518, 177.652209043, 139.875236806
184.640545358, 156.389609202, 127.952483764, 75.5051619279, 169.092107683, 121.118188751, 96.4730086061, 99.7251058276, 950.465505287, 172.294177758, 69.144300544, 556.087989691, 158.644122991, 213.746025166, 155.576519435, 155.967029447, 162.063904005, 559.788977647, 173.517831054, 156.57126967, 161.182630294, 155.942178362, 152.479300596, 116.490940092, 97.6631607029, 154.234429319, 142.900834125, 163.236330886, 153.372833539
136.341870186, 133.578567696, 132.285028625, 97.5730976195, 135.333601106, 142.456325887, 98.0881653601, 131.060409889, 406.019356139, 205.632688486, 93.6993761575, 281.848523122, 155.739056786, 159.101266297, 135.414881335, 153.821595949, 161.008110648, 373.095225275, 216.481197127, 154.654528701, 136.808175583, 145.422526541, 121.329092618, 92.4098506082, 122.020778241, 133.653268143, 114.168241131, 166.527547764, 122.857651137
168.977302349, 152.329374397, 132.023981653, 82.303170631, 153.886011723, 127.047365682, 78.935514342, 131.449663343, 813.065680208, 156.16138075, 43.7196523039, 200.057549712, 155.282924582, 168.925057704, 149.130364795, 150.164310936, 188.655352708, 817.483977344, 183.247275419, 151.669632942, 149.721709854, 150.922570709, 141.570172427, 93.620640306, 125.149915663, 146.425677749, 126.512286193, 166.978298823, 145.240858123
149.003904805, 133.731939996, 131.56153276, 67.9752098807, 140.330522734, 126.524635447, 87.2211478721, 127.481005856, 298.280285933, 177.360359241, 66.1142610188, 465.59565741, 179.319819719, 158.804275515, 136.908790146, 169.482504824, 182.649069387, 921.846502613, 205.01426616, 172.128319042, 148.892980577, 135.532103975, 134.583244202, 101.305316598, 109.044368669, 136.081407369, 126.764713641, 138.120507534, 135.941035265
166.63457403, 150.807276441, 122.697613098, 87.3639210169, 151.157994551, 111.442634853, 103.120528649, 115.610521067, 625.080131837, 155.539205051, 71.2022937205, 256.604363096, 150.193000662, 163.427922921, 148.861088677, 148.901351688, 171.245489381, 987.398854497, 157.766467202, 149.113182441, 149.054419099, 156.499258268, 148.071204185, 106.495658944, 104.382943411, 148.545511008, 130.431407474, 168.428103715, 148.294176116
201.810320052, 172.83456828, 129.631534048, 94.8460265293, 193.378935481, 140.629257501, 109.295362694, 125.373116295, 750.509120343, 205.911371029, 73.0616982493, 429.036844435, 158.318314657, 167.950920344, 151.975815581, 156.558134834, 159.714206566, 909.978180671, 283.835769868, 156.609887012, 154.440311956, 155.137784397, 149.744672884, 93.6317203725, 123.510786718, 151.973994895, 130.322467198, 201.699815806, 151.934433766
179.370963081, 166.479004168, 140.863809495, 92.7198016232, 167.150226883, 168.639461738, 61.8633196974, 138.265437436, 444.213168291, 187.995381561, 89.4380940581, 263.101111684, 167.83437858, 164.815876721, 160.703414066, 164.422020129, 174.189835059, 849.526398589, 198.701932945, 164.614590297, 162.108456385, 160.669078227, 159.911520102, 103.800729032, 119.277488557, 160.654312581, 128.334836814, 181.414432549, 160.480934675
152.103911094, 142.818698638, 122.154537372, 91.2016502664, 144.516624874, 112.266513006, 91.8878907525, 107.100521608, 899.030248724, 161.506475505, 77.8676241889, 455.290856753, 157.044308892, 168.49920468, 154.096172198, 154.977227841, 163.701245023, 933.780002051, 185.357938143, 155.7774281, 156.175519805, 153.043287051, 151.599679009, 106.28734133, 106.898095401, 153.184249013, 139.14834971, 178.073201048, 153.066331821
175.925521007, 172.319357387, 123.036855397, 84.9380404297, 173.292654658, 134.891468525, 68.8787123192, 99.2580931592, 950.292742752, 185.00261341, 72.1773668153, 623.176512268, 151.534612261, 153.864642963, 144.742866288, 150.661422119, 155.691959691, 644.727580379, 208.474498358, 151.03507344, 144.843655227, 147.953537607, 131.043736916, 97.6449726039, 95.886407218, 139.533513762, 129.875476196, 157.58653141, 138.892083394
159.821794912, 149.577801071, 133.220017335, 85.6112581843, 150.333604512, 111.965507837, 83.4566069682, 110.857381586, 267.049061161, 158.049448708, 59.5000425067, 428.381307427, 156.345493795, 160.777760893, 144.636949629, 153.385737656, 165.639072837, 264.143870449, 199.614491473, 155.219089548, 146.068567547, 144.573149795, 143.085968005, 92.0261876607, 99.4688181118, 144.434332741, 133.688476043, 152.504322662, 144.237723306
165.661117488, 162.499442924, 144.193729502, 83.7126710019, 163.766869774, 126.214822583, 71.4129737108, 126.415258359, 657.756547929, 150.613113122, 76.593095907, 223.371627453, 158.735080733, 159.319461518, 148.454569367, 155.139455164, 162.208516755, 720.773890482, 166.114650442, 157.69041671, 148.583244484, 149.88290753, 148.414206357, 99.6035947466, 121.297073992, 148.447163063, 124.577648467, 154.71184826, 148.430035351
150.586314656, 128.330219318, 123.448407007, 99.2553129426, 132.785111336, 135.135557548, 111.08721328, 120.71575565, 218.797807865, 167.640497298, 74.0859074283, 320.803018812, 148.735599626, 169.03352834, 143.219128402, 148.693270066, 166.66103925, 580.243016717, 267.295716817, 148.723648348, 143.257261587, 148.026768522, 141.524353821, 99.7183101353, 117.510095146, 142.819986194, 130.527647357, 199.702428855, 142.08641027
173.756381228, 145.910120095, 119.488986663, 95.3167135259, 156.92823307, 133.511803276, 105.587944145, 115.642207101, 489.059063781, 176.475360802, 73.5157274394, 262.026489664, 165.889265691, 154.253538523, 149.683366497, 153.603552442, 166.072449855, 659.018477228, 197.121912248, 156.890545005, 149.981314345, 165.893630618, 148.585695036, 102.269503332, 108.391078036, 149.256303138, 142.457307726, 165.991662797, 149.157234364
198.113156841, 131.128862463, 130.306048505, 86.7747484761, 160.733653733, 126.515108787, 97.8805129024, 125.283468742, 595.858715233, 174.313667491, 45.7396343896, 385.830937347, 164.022269464, 153.741951151, 149.671142244, 159.97494245, 183.089664765, 638.77212843, 284.240351455, 160.308667281, 149.768902224, 151.014920729, 148.431830751, 109.235529023, 109.30889459, 149.650844858, 129.3321166, 166.629476528, 149.494117968
201.48469822, 151.524060565, 142.031264523, 109.64270972, 163.268789012, 130.392292759, 88.7629919342, 129.166010047, 678.990619617, 177.891862171, 64.1434707323, 247.66203838, 161.945322656, 160.054561798, 129.921363814, 155.701236646, 189.700699322, 989.991423643, 162.868888031, 160.280117817, 134.58475095, 136.972784658, 126.167585439, 108.91982022, 102.493848549, 128.383429069, 108.16725827, 157.031734932, 127.412554789
159.542658484, 150.350386508, 141.415060107, 102.037278401, 153.289961887, 130.004417305, 75.6389202977, 140.539511434, 627.586905615, 182.981420544, 88.6353882857, 479.441062558, 172.214971324, 160.523990522, 150.373803198, 153.164086886, 181.637817363, 303.603217046, 228.142611753, 167.659684879, 152.98676205, 159.90205251, 148.791156091, 102.939714981, 120.606629468, 149.607744134, 145.187762028, 170.014887562, 149.264364469
184.164662492, 162.008439764, 161.621475852, 85.9471663234, 166.200614389, 152.825832099, 109.386094742, 158.566858839, 235.074227313, 182.229339838, 35.9537458185, 565.973130586, 181.576189505, 182.753675302, 180.694325976, 181.469859929, 194.695850696, 481.141145402, 258.300662174, 181.52168079, 182.077426407, 180.324032698, 176.773615581, 106.804198122, 150.134952833, 178.962402641, 141.160459175, 193.57149959, 178.590980369
198.780443008, 146.257791415, 140.579556898, 87.9385147583, 179.26054087, 126.201734041, 97.3368735833, 126.586170165, 949.647529744, 164.631276435, 30.7743941272, 517.360455029, 151.073372006, 151.237779632, 144.123230989, 148.263580999, 165.090397062, 327.061820703, 179.677947881, 148.454750168, 149.704098438, 135.283651554, 132.969537027, 107.93855238, 124.922341771, 143.267264404, 97.735738816, 145.103734833, 139.940871164
